hex,name
#1a428a,darkslateblue
#ffffff,white
#00758D,teal
#0a2240,midnightblue
#005FAE,darkcyan
#000000,black
#ce0e2d,crimson
#582C5F,darkslateblue
#295135,darkslategray
#ffc629,gold
#00758d,teal
#7c9ac0,lightslategray
#CE0E2D,crimson
#72253d,brown
#0071ce,dodgerblue
#1A428A,darkslateblue
#272e53,darkslategray
#201747,midnightblue
#0A2240,midnightblue
#236092,teal
#005fae,darkcyan
#ff4438,tomato
#EDE9E3,linen
#1D1934,midnightblue
#592C82,darkslateblue
#8A2432,brown
#BC955C,darkkhaki
#1d252c,darkslategray
#373a36,darkslategray
#0055b8,darkcyan
#8a2432,brown
#fcdb1f,gold
#007934,forestgreen
#592c82,darkslateblue
