team,score
Denver Nuggets,124
Los Angeles Lakers,95
Golden State Warriors,141
Phoenix Suns,138
Charlotte Hornets,135
Atlanta Hawks,106
Indiana Pacers,119
Washington Wizards,141
New York Knicks,131
Boston Celtics,101
Orlando Magic,137
Houston Rockets,136
Brooklyn Nets,140
Cleveland Cavaliers,112
Miami Heat,135
Detroit Pistons,132
Toronto Raptors,107
Minnesota Timberwolves,149
Chicago Bulls,45
Oklahoma City Thunder,97
Memphis Grizzlies,127
New Orleans Pelicans,122
Utah Jazz,123
Sacramento Kings,140
San Antonio Spurs,141
Dallas Mavericks,136
LA Clippers,122
Portland Trail Blazers,120
Milwaukee Bucks,134
Philadelphia 76ers,143
